it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.25,31.415926535898,4.74932883378755e-15,0.44926137647497,157.087302583349,157.536563959824,4.43722107456094
2,0.5,31.4159265358972,4.12455791892874e-15,0.339887372215051,157.166982175016,157.506869547231,4.43722107456074
3,0.75,31.4159265358974,6.01850259067418e-15,0.202235585203114,157.296936277336,157.499171862539,4.43722107456068
4,1,31.4159265358935,3.33396223222126e-15,0.0823783261225909,157.431451835735,157.513830161858,4.43722107455941
5,1.25,31.4159265358967,4.03021936219322e-15,0.0132701931058373,157.528476726514,157.54174691962,4.43722107455918
6,1.5,31.4159265359085,5.83859112242806e-15,0.00197960672669423,157.567052956794,157.569032563521,4.43722107456145
7,1.75,31.4159265358991,7.73618715423421e-15,0.0296263813611625,157.554152805964,157.583779187325,4.43722107456107
8,2,31.4159265358923,5.05781889736851e-15,0.0636054643294148,157.518038908249,157.581644372579,4.43722107455936
9,2.25,31.4159265358676,5.35932159774749e-15,0.0757080495323341,157.491823081487,157.567531131019,4.43722107455742
10,2.5,31.4159265357925,5.87387397720934e-15,0.056971629017886,157.495640482789,157.552612111807,4.4372210745484
11,2.75,31.4159265351996,4.39262396046173e-15,0.0219497724722906,157.526357059438,157.548306831911,4.43722107471651
12,3,31.4159265341381,2.08512431751717e-15,0.000571130906741781,157.559725445611,157.560296576518,4.43722107466253
13,3.25,31.4159265333433,4.29319665201113e-15,0.0219240678415802,157.563582026184,157.585506094026,4.43722107453166
14,3.5,31.4159265276127,4.28081203511444e-15,0.0981034479774241,157.515328238783,157.613431686761,4.43722107340158
15,3.75,31.4159265195454,3.15468681754037e-15,0.216082096901172,157.415038976985,157.631121073887,4.4372210715582
16,4,31.4159265498406,5.1651343067703e-15,0.341680150397915,157.287735144656,157.629415295053,4.43722107712344
17,4.25,31.4159265570484,4.2586893443394e-15,0.433856289500996,157.173559266168,157.607415555669,4.43722107881209
18,4.5,31.4159265261236,5.03647501185669e-15,0.462423002447567,157.110514396133,157.57293739858,4.43722107258919
19,4.75,31.4159265483698,5.69247968593696e-15,0.420570524504683,157.118170078765,157.53874060327,4.43722107711732
20,5,31.4159265282502,3.89110028400875e-15,0.326349726420954,157.190188149199,157.51653787562,4.43722107304178
