it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.25,31.4159265358976,-2.54140355164295e-16,0.449261376323463,157.087302583427,157.536563959751,4.43722107456088
2,0.5,31.4159265358976,-3.69172305396555e-15,0.339887371717835,157.166982175809,157.506869547527,4.43722107456088
3,0.75,31.4159265358976,-5.67134266261374e-15,0.202235584412333,157.296936279186,157.499171863598,4.43722107456088
4,1,31.4159265358976,-7.70446550392809e-15,0.0823783252960136,157.431451838683,157.513830163979,4.43722107456088
5,1.25,31.4159265358976,-8.40000752858827e-15,0.0132701926870683,157.528476729846,157.541746922533,4.43722107456088
6,1.5,31.4159265358976,-7.59745903859576e-15,0.00197960688818743,157.567052959199,157.569032566087,4.43722107456087
7,1.75,31.4159265358976,-1.00853593575725e-14,0.0296263818782771,157.554152807441,157.583779189319,4.43722107456088
8,2,31.4159265358976,-5.4038264992829e-15,0.0636054650333393,157.518038909897,157.58164437493,4.43722107456088
9,2.25,31.4159265358976,-7.78137640088571e-15,0.0757080502815873,157.491823084336,157.567531134617,4.43722107456088
10,2.5,31.4159265358976,-1.00987351657391e-14,0.0569716289359792,157.495640486054,157.55261211499,4.43722107456088
11,2.75,31.4159265358976,-8.6675236919191e-15,0.0219497720861563,157.526357082803,157.548306854889,4.43722107456088
12,3,31.4159265358976,-1.15566982558921e-14,0.00057113049121484,157.559725479359,157.560296609851,4.43722107456088
13,3.25,31.4159265358976,-1.28942790725463e-14,0.0219240806897171,157.563582033847,157.585506114536,4.43722107456088
14,3.5,31.4159265358976,-1.76560667798352e-15,0.0981034729239038,157.515328234104,157.613431707028,4.43722107456088
15,3.75,31.4159265358976,-2.10267704378038e-14,0.216082100759913,157.415039158871,157.631121259631,4.43722107456088
16,4,31.4159265358976,-1.17707111865568e-14,0.341680239080346,157.287735168985,157.629415408065,4.43722107456088
17,4.25,31.4159265358976,-1.32420500848764e-14,0.433856447764131,157.173559080807,157.607415528571,4.43722107456088
18,4.5,31.4159265358976,-1.81208761136225e-14,0.462423167700113,157.110514451011,157.572937618711,4.43722107456088
19,4.75,31.4159265358976,-2.29930142382854e-14,0.420570683800268,157.118169944426,157.538740628226,4.43722107456088
20,5,31.4159265358976,-2.3327409442449e-14,0.326349846526773,157.190188212976,157.516538059503,4.43722107456088
21,5.25,31.4159265358976,-2.34344159077813e-14,0.213002494630185,157.298875323418,157.511877818048,4.43722107456088
22,5.5,31.4159265358976,-2.8463719778401e-14,0.113520520803597,157.408825193374,157.522345714177,4.43722107456088
23,5.75,31.4159265358976,-3.04968426197154e-14,0.0472916349092288,157.492467976914,157.539759611823,4.43722107456087
24,6,31.4159265358976,-3.79872951929788e-14,0.0152454341103473,157.539839999493,157.555085433604,4.43722107456088
25,6.25,31.4159265358976,-4.51567283702452e-14,0.00544968169081629,157.558081033048,157.563530714739,4.43722107456088
26,6.5,31.4159265358976,-4.30316468477859e-14,0.00568125581571791,157.561462740379,157.567143996195,4.43722107456088
27,6.75,31.4159265358976,-4.19599102184417e-14,0.0157120842087115,157.557746848676,157.573458932885,4.43722107456088
28,7,31.4159265358976,-4.59592768602377e-14,0.0520669251145411,157.538780777906,157.590847703021,4.43722107456088
29,7.25,31.4159265358976,-5.87465494674517e-14,0.142057567846459,157.48104511966,157.623102687507,4.43722107456088
30,7.5,31.4159265358976,-6.93401895353528e-14,0.309715122360968,157.356451788007,157.666166910368,4.43722107456088
31,7.75,31.4159265358976,-9.08484890671521e-14,0.560551409376961,157.148178309417,157.708729718794,4.43722107456087
32,8,31.4159265358976,-3.08713652483785e-14,0.872793214433787,156.863667698194,157.736460912627,4.43722107456088
33,8.25,31.4159265358976,-6.70930537633738e-14,1.19983689635973,156.538157119916,157.737994016276,4.43722107456088
34,8.5,31.4159265358976,-9.05809729038213e-14,1.48364996591099,156.226336533898,157.709986499809,4.43722107456088
35,8.75,31.4159265358976,-1.1711857630624e-13,1.6738463992842,155.985076377552,157.658922776836,4.43722107456088
36,9,31.4159265358976,-9.78858361387739e-14,1.74443460520575,155.854336379291,157.598770984496,4.43722107456088
37,9.25,31.4159265358976,-1.14710930836263e-13,1.70131166672598,155.84431726787,157.545628934596,4.43722107456088
38,9.5,31.4159265358976,-1.38145346744044e-13,1.57810985795113,155.933891161245,157.512001019196,4.43722107456087
39,9.75,31.4159265358976,-1.64147917819801e-13,1.42356549899346,156.079831500463,157.503396999456,4.43722107456087
40,10,31.4159265358976,-2.05425661821749e-13,1.28715472134747,156.231401570557,157.518556291905,4.43722107456088
