it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.25,12.5663706042066,-25.1327411455588,3.14159264851355,31.4159261951953,34.5575188437089,3.98802116453738
2,0.5,12.5663706042066,-25.1327411455588,3.14159264851355,31.4159261951953,34.5575188437089,3.98802116453738
3,0.75,12.5663706042066,-25.1327411455588,3.14159264851355,31.4159261951953,34.5575188437089,3.98802116453738
4,1,12.5663706042066,-25.1327411455588,3.14159264851355,31.4159261951953,34.5575188437089,3.98802116453738
5,1.25,12.5663706042066,-25.1327411455588,3.14159264851355,31.4159261951953,34.5575188437089,3.98802116453738
6,1.5,12.5663706042066,-25.1327411455588,3.14159264851355,31.4159261951953,34.5575188437089,3.98802116453738
