it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.25,12.5663706143589,-5.55618311769207e-20,3.14159264851355,0.00628318530717959,3.14787583382073,112.099824327959
2,0.5,12.5663706143589,-5.55618311769207e-20,3.14159264851355,0.00628318530717959,3.14787583382073,112.099824327959
3,0.75,12.5663706143589,-5.55618311769207e-20,3.14159264851355,0.00628318530717959,3.14787583382073,112.099824327959
4,1,12.5663706143589,-5.55618311769207e-20,3.14159264851355,0.00628318530717959,3.14787583382073,112.099824327959
5,1.25,12.5663706143589,-5.55618311769207e-20,3.14159264851355,0.00628318530717959,3.14787583382073,112.099824327959
6,1.5,12.5663706143589,-5.55618311769207e-20,3.14159264851355,0.00628318530717959,3.14787583382073,112.099824327959
