it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.25,31.4157288736759,2.24782987514068e-06,0.449028551279026,157.08419095568,157.533219506959,4.43719185703145
2,0.5,31.4151736370867,1.34088806031154e-05,0.339145785696564,157.155214652794,157.49436043849,4.43710982100455
3,0.75,31.4143607117249,3.94013687890909e-05,0.201127509361911,157.272454507529,157.473582016891,4.43698981039506
4,1,31.4134312082466,8.20490137874353e-05,0.081373036043141,157.392073074562,157.473446110605,4.43685286899924
5,1.25,31.4125485640693,0.000142120028637299,0.0128157396039938,157.474300811114,157.487116550718,4.43672295112594
