it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm,incomp_error,rho_1,rho_2,rho_3,rho_4,rho_5
130,65,24.1651630200435,0.00142203420782359,2.09105207306343e-08,12.0849552493957,12.0849552703062,6.81628411128579,0,0.0114704384400847,4.67321932304243e-07,5.39824587120338e-09,1.18549737541581e-11,1.04898973143384e-09
131,65.5,24.165163022497,0.00142208411744009,2.18097026199033e-08,12.0849553304746,12.0849553522843,6.81628411228933,0,0.0118182686218966,4.96577708593534e-07,5.68114429102778e-09,1.30552829851018e-11,9.80671935099684e-10
132,66,24.1651630251033,0.00142213623242443,2.27306029332073e-08,12.0849554151789,12.0849554379096,6.81628411335545,0,0.0121696371524511,5.28445095182816e-07,6.0054529093924e-09,1.42497459777635e-11,8.98983295770705e-10
133,66.5,24.1651630278699,0.00142219056732638,2.36714030355428e-08,12.0849555035296,12.084955527201,6.81628411448679,0,0.0125240847962317,5.63043824610107e-07,6.34704191504464e-09,1.6174577707453e-11,7.97725073921246e-10
134,67,24.1651630308041,0.00142224712775803,2.46245423769657e-08,12.0849555955421,12.0849556201667,6.81628411568682,0,0.0128810416669742,5.98788110800104e-07,6.72529517825639e-09,1.80605019624399e-11,6.97311600126344e-10
135,67.5,24.1651630339132,0.00142230590930631,2.55778128488603e-08,12.0849556912209,12.0849557167987,6.81628411695821,0,0.0132398959212089,6.34163783174237e-07,7.13768405833915e-09,2.01291905452874e-11,5.85137982662079e-10
136,68,24.1651630372067,0.00142236688836138,2.65176466530069e-08,12.0849557905417,12.0849558170593,6.81628411830551,0,0.0136000650978272,6.6918831426363e-07,7.6091843241251e-09,2.29416750754493e-11,4.79283756141818e-10
137,68.5,24.1651630406849,0.00142243001001323,2.7433065882288e-08,12.084955893435,12.084955920868,6.81628411972772,0,0.0139610362849634,7.05044972595322e-07,8.14302925644814e-09,2.56092026130539e-11,3.98227579091991e-10
138,69,24.1651630443565,0.00142249520073897,2.83182315504141e-08,12.0849559997853,12.0849560281035,6.81628412122937,0,0.0143223569695789,7.42586925216206e-07,8.74024740580739e-09,2.87103636976242e-11,3.91318943744349e-10
139,69.5,24.1651630482248,0.00142256236466975,2.91723732931343e-08,12.0849561094357,12.0849561386081,6.81628412281146,0,0.0146835867769857,7.81394190397249e-07,9.40118390615417e-09,3.22673139314452e-11,4.85547463124974e-10
140,70,24.1651630522992,0.00142263140053789,2.99971633946051e-08,12.0849562222108,12.084956252208,6.81628412447878,0,0.0150442397578049,8.2026910317952e-07,1.0118960111151e-08,3.6014595189799e-11,6.62046235867203e-10
141,70.5,24.1651630565733,0.00142270219301352,3.07931767589988e-08,12.0849563379301,12.0849563687233,6.81628412622709,0,0.0154037531280027,8.58496509143453e-07,1.08868191035438e-08,4.04942887164307e-11,8.90702709864657e-10
142,71,24.1651630610586,0.00142277464822791,3.15574596309749e-08,12.0849564564354,12.0849564879929,6.81628412806235,0,0.0157615035958785,8.96335662778177e-07,1.17135956937821e-08,4.50871164067224e-11,1.15209972533802e-09
143,71.5,24.165163065757,0.00142284866995789,3.22837858407363e-08,12.0849565775824,12.0849566098662,6.81628412998531,0,0.0161168671640662,9.34496432114049e-07,1.26126723978046e-08,5.04251203475716e-11,1.43728430130913e-09
144,72,24.1651630706743,0.00142292416544613,3.29654492493599e-08,12.0849567012352,12.0849567342007,6.81628413199868,0,0.0164692943898574,9.73155587310156e-07,1.35860503258108e-08,5.5903751842414e-11,1.73060481691092e-09
145,72.5,24.1651630758026,0.00142300102444024,3.35991700692411e-08,12.0849568272439,12.084956860843,6.81628413409801,0,0.0168183648378719,1.01176329987579e-06,1.46465109775161e-08,6.15313170073275e-11,2.02773588697754e-09
146,73,24.1651630811508,0.00142307914625254,3.41878264607512e-08,12.0849569554448,12.0849569896326,6.81628413628829,0,0.0171637944458915,1.04953456829117e-06,1.57871751611153e-08,6.78184202971493e-11,2.31672990705425e-09
147,73.5,24.1651630867204,0.00142315841663988,3.47404369662009e-08,12.0849570856542,12.0849571203946,6.81628413857,0,0.0175053914424283,1.08616711390444e-06,1.70029216353087e-08,7.47360150440061e-11,2.60604703661444e-09
148,74,24.165163092511,0.00142323872266866,3.52691298515123e-08,12.0849572176825,12.0849572529516,6.81628414094315,0,0.0178429836396408,1.12191927214354e-06,1.82896369545003e-08,8.18116707665972e-11,2.89453352006699e-09
149,74.5,24.1651630985201,0.00142331995937247,3.57845976521042e-08,12.084957351354,12.0849573871386,6.81628414340621,0,0.0181763524642977,1.15711893739463e-06,1.96581970288511e-08,8.86023595987493e-11,3.18235367937407e-09
150,75,24.1651631047539,0.00142340204195634,3.62922986239538e-08,12.084957486525,12.0849575228173,6.816284145962,0,0.0185052066410695,1.19168608029416e-06,2.10764657068825e-08,9.63371833326829e-11,3.45463754646906e-09
151,75.5,24.1651631112187,0.00142348489825611,3.67912990441729e-08,12.0849576230769,12.0849576598682,6.81628414861427,0,0.0188292041587862,1.22514484366855e-06,2.2553660515544e-08,1.04714087249027e-10,3.71314384541879e-09
152,76,24.1651631179063,0.00142356844549542,3.72761563419953e-08,12.0849577608975,12.0849577981737,6.8162841513581,0,0.0191480083746981,1.25715699603751e-06,2.41017822378954e-08,1.12495998337052e-10,3.9689970149561e-09
153,76.5,24.1651631248288,0.00142365261058684,3.77407833119467e-08,12.0849578998651,12.0849579376059,6.81628415420026,0,0.0194613455521252,1.28771351858128e-06,2.57029537776188e-08,1.21212579593718e-10,4.19739550546841e-09
154,77,24.1651631319795,0.00142373728195786,3.81821225803337e-08,12.0849580398139,12.084958077996,6.81628415713667,0,0.0197690320841858,1.31710424700847e-06,2.73433182409376e-08,1.30637781967269e-10,4.40199908301369e-09
155,77.5,24.1651631393592,0.00142382233446187,3.86016250460426e-08,12.0849581805302,12.0849582191318,6.81628416016872,0,0.0200709539923262,1.34549402485577e-06,2.90248820478847e-08,1.38346092872632e-10,4.58614799638058e-09
156,78,24.1651631469615,0.00142390761881307,3.90036825099873e-08,12.0849583217611,12.0849583607648,6.816284163293,0,0.0203670097419858,1.3728362091309e-06,3.07531207152804e-08,1.48300346369903e-10,4.74498832132789e-09
157,78.5,24.1651631547987,0.00142399299833741,3.9392001132708e-08,12.0849584632428,12.0849585026348,6.81628416651678,0,0.0206570461836467,1.3989108796593e-06,3.25178174166599e-08,1.57299564781939e-10,4.89570625457008e-09
158,79,24.1651631628555,0.00142407831306524,3.97659647817818e-08,12.0849586047105,12.0849586444764,6.81628416983171,0,0.0209408228363909,1.42368530114019e-06,3.42684667339671e-08,1.67024206435935e-10,4.98088695271477e-09
159,79.5,24.1651631711297,0.00142416342236221,4.01191120495892e-08,12.0849587459233,12.0849587860424,6.81628417323796,0,0.0212180235336825,1.44731522255372e-06,3.6072242538277e-08,1.76303915495613e-10,5.06966622655329e-09
160,80,24.1651631796131,0.00142424819053113,4.04407632657568e-08,12.0849588866604,12.0849589271012,6.8162841767317,0,0.0214883137749298,1.47008673779238e-06,3.78679463755071e-08,1.86428545612304e-10,5.11409188414133e-09
